pair,total_count,len_3_count,len_4_count,len_5_count,len_6_count,len_7_count,len_8_count,len_9_count,len_10_plus_count
"(k,f)",27,4,5,3,3,1,5,4,2
"(k,g)",159,1,6,10,20,41,30,23,28
"(k,h)",155,1,9,20,33,33,31,14,14
"(k,i)",189,5,21,37,46,32,28,10,10
"(k,j)",4,1,0,1,1,1,0,0,0
"(k,k)",102,0,10,22,15,17,16,8,14
"(k,l)",133,4,13,23,33,15,18,9,18
"(k,m)",76,2,4,7,6,7,19,13,18
"(k,n)",327,5,15,29,67,77,47,38,49
"(k,o)",71,0,18,18,11,8,14,1,1
"(k,p)",45,3,11,3,6,8,5,1,8
"(k,q)",0,0,0,0,0,0,0,0,0
"(k,r)",251,3,12,22,61,53,29,23,48
"(k,s)",799,3,30,108,116,145,145,114,138
"(k,t)",160,3,20,20,22,24,27,21,23
"(k,u)",55,4,11,11,13,4,11,0,1
"(k,v)",5,0,1,0,1,0,0,0,3
"(k,w)",15,1,3,1,5,3,2,0,0
"(k,x)",10,1,1,2,1,2,0,0,3
"(k,y)",180,2,4,25,35,19,26,20,49
"(k,z)",18,0,1,5,5,3,1,3,0
"(l,a)",578,3,30,67,71,107,61,66,173
"(l,b)",13,6,4,1,1,1,0,0,0
"(l,c)",293,5,1,11,23,22,31,38,162
"(l,d)",737,7,18,43,113,115,153,118,170
"(l,e)",1445,5,52,66,137,173,298,268,446
"(l,f)",42,3,7,1,3,2,7,9,10
"(l,g)",436,6,7,4,38,97,64,67,153
"(l,h)",170,1,14,34,24,23,27,21,26
"(l,i)",101,3,12,16,19,14,15,5,17
"(l,j)",0,0,0,0,0,0,0,0,0
"(l,k)",120,2,21,1,4,26,38,16,12
"(l,l)",336,1,5,20,37,61,43,27,142
"(l,m)",293,7,5,6,28,33,59,51,104
"(l,n)",811,4,24,53,112,128,136,80,274
"(l,o)",107,5,15,18,17,16,18,9,9
"(l,p)",75,5,11,2,8,4,14,3,28
"(l,q)",2,2,0,0,0,0,0,0,0
"(l,r)",596,7,11,42,146,114,79,63,134
"(l,s)",2399,5,47,165,199,335,378,437,833
"(l,t)",489,6,22,25,59,86,117,64,110
"(l,u)",21,2,6,6,5,1,1,0,0
"(l,v)",7,3,1,1,0,0,0,1,1
"(l,w)",17,4,1,0,3,7,2,0,0
"(l,x)",32,5,2,4,5,1,3,4,8
"(l,y)",854,3,14,92,82,106,99,114,344
"(l,z)",6,2,1,1,0,1,0,0,1
"(m,a)",1184,6,35,83,131,181,156,181,411
"(m,b)",29,4,0,0,8,7,6,1,3
"(m,c)",937,3,5,23,26,52,91,97,640
"(m,d)",1413,10,23,40,118,164,226,233,599
"(m,e)",3049,3,48,93,208,275,466,563,1393
"(m,f)",50,2,3,4,3,5,5,8,20
"(m,g)",841,12,10,4,36,92,81,107,499
"(m,h)",360,2,13,36,43,53,63,66,84
"(m,i)",234,1,17,33,48,49,30,20,36
"(m,j)",2,0,1,0,0,1,0,0,0
"(m,k)",172,0,21,11,19,42,31,31,17
"(m,l)",955,5,19,36,81,76,119,94,525
"(m,m)",724,6,10,14,41,39,86,154,374
"(m,n)",1450,6,15,26,133,190,186,198,696
"(m,o)",257,4,38,38,30,56,47,23,21
"(m,p)",126,2,5,2,16,15,18,19,49
"(m,q)",1,1,0,0,0,0,0,0,0
"(m,r)",1078,6,9,57,143,161,129,145,428
"(m,s)",4120,9,49,181,253,510,594,694,1830
"(m,t)",1023,7,35,33,93,103,207,157,388
"(m,u)",60,4,6,13,14,8,6,5,4
"(m,v)",7,1,2,1,2,0,1,0,0
"(m,w)",50,3,3,5,11,16,5,5,2
"(m,x)",58,5,4,5,7,6,12,4,15
"(m,y)",1593,2,15,110,101,139,181,217,828
"(m,z)",9,1,1,1,2,0,2,2,0
"(n,a)",354,3,20,37,45,43,33,60,113
"(n,b)",16,5,3,4,0,2,1,1,0
"(n,c)",702,0,3,6,17,23,36,62,555
"(n,d)",735,4,7,15,61,55,71,109,413
"(n,e)",2155,3,33,42,88,110,162,204,1513
"(n,f)",21,2,4,0,0,4,1,3,7
"(n,g)",696,5,5,2,14,42,35,53,540
"(n,h)",128,2,7,15,12,21,19,21,31
"(n,i)",85,1,14,14,18,18,8,6,6
"(n,j)",1,0,0,0,1,0,0,0,0
"(n,k)",69,2,9,3,7,17,14,10,7
"(n,l)",944,3,12,33,29,35,62,71,699
"(n,m)",294,4,6,8,17,20,45,39,155
"(n,n)",1027,3,7,14,48,41,81,66,767
"(n,o)",75,3,9,15,15,17,7,7,2
"(n,p)",42,3,5,2,1,5,3,6,17
"(n,q)",1,0,0,0,0,0,1,0,0
"(n,r)",507,2,7,22,65,56,47,83,225
"(n,s)",2354,3,29,91,91,169,202,253,1516
"(n,t)",758,5,16,16,37,38,75,96,475
"(n,u)",26,1,4,8,5,4,3,1,0
"(n,v)",2,2,0,0,0,0,0,0,0
"(n,w)",10,3,1,2,3,0,0,1,0
"(n,x)",28,2,3,2,2,2,4,4,9
"(n,y)",2407,2,6,52,46,74,88,91,2048
"(n,z)",4,0,0,3,0,1,0,0,0
"(o,a)",448,9,16,30,53,50,45,49,196
"(o,b)",16,2,0,0,3,3,4,3,1
"(o,c)",454,3,3,14,21,33,49,50,281
"(o,d)",1282,6,10,16,57,109,186,240,658
"(o,e)",1834,10,17,40,108,220,309,296,834
"(o,f)",34,5,2,0,0,3,8,8,8
"(o,g)",1020,1,2,5,20,30,47,104,811
"(o,h)",216,2,8,5,14,26,45,49,67
"(o,i)",64,6,5,9,15,9,5,4,11
"(o,j)",1,1,0,0,0,0,0,0,0
"(o,k)",122,4,1,4,9,33,47,20,4
"(o,l)",513,4,8,15,27,63,82,57,257
"(o,m)",298,3,7,10,23,41,57,40,117
"(o,n)",830,1,13,30,60,82,105,125,414
"(o,o)",70,4,13,7,15,17,7,3,4
"(o,p)",96,2,0,4,7,24,27,16,16
"(o,q)",0,0,0,0,0,0,0,0,0
"(o,r)",529,3,14,28,26,48,99,106,205
"(o,s)",2553,10,44,64,121,202,353,462,1297
"(o,t)",771,9,9,26,59,102,142,118,306
"(o,u)",6,0,2,1,1,0,1,1,0
"(o,v)",3,2,0,1,0,0,0,0,0
"(o,w)",62,0,0,2,6,20,19,8,7
"(o,x)",34,0,5,1,3,7,5,4,9
"(o,y)",1400,3,21,21,57,72,102,129,995
"(o,z)",5,1,1,1,0,2,0,0,0
"(p,a)",1790,7,36,85,141,209,183,258,871
"(p,b)",20,3,2,3,1,6,2,1,2
"(p,c)",2086,3,6,7,48,73,133,207,1609
"(p,d)",2275,6,17,42,164,252,343,354,1097
"(p,e)",5265,6,40,117,267,455,640,829,2911
"(p,f)",72,4,8,5,3,4,5,17,26
"(p,g)",1486,6,12,7,53,129,143,177,959
"(p,h)",464,4,14,21,43,50,63,72,197
"(p,i)",280,6,15,33,36,56,41,33,60
"(p,j)",0,0,0,0,0,0,0,0,0
"(p,k)",221,2,22,16,12,55,53,42,19
"(p,l)",2372,6,21,39,110,132,200,246,1618
"(p,m)",1328,5,10,18,41,67,157,180,850
"(p,n)",2599,7,21,41,149,222,254,286,1619
"(p,o)",322,2,23,48,51,69,62,30,37
"(p,p)",209,7,15,6,7,19,23,14,118
"(p,q)",2,1,0,0,0,1,0,0,0
"(p,r)",1780,9,15,37,174,222,245,288,790
"(p,s)",6575,9,62,210,327,640,915,1036,3376
"(p,t)",1934,14,38,48,102,182,241,271,1038
"(p,u)",60,4,10,15,6,9,10,2,4
"(p,v)",9,1,5,1,1,1,0,0,0
"(p,w)",57,4,4,7,9,13,5,8,7
"(p,x)",123,6,6,9,20,17,11,15,39
"(p,y)",3504,6,26,129,155,213,256,370,2349
"(p,z)",8,1,3,0,2,2,0,0,0
"(q,a)",71,1,1,9,16,8,16,6,14
"(q,b)",2,0,2,0,0,0,0,0,0
"(q,c)",45,0,0,0,2,5,8,5,25
"(q,d)",115,3,4,1,6,27,10,22,42
"(q,e)",287,1,2,10,20,25,33,47,149
"(q,f)",9,1,0,2,0,0,0,0,6
"(q,g)",72,0,2,0,3,7,32,8,20
"(q,h)",43,0,1,4,10,2,11,7,8
"(q,i)",19,1,4,3,2,1,4,1,3
"(q,j)",0,0,0,0,0,0,0,0,0
"(q,k)",13,0,0,8,0,0,0,3,2
"(q,l)",122,0,1,7,4,16,10,10,74
"(q,m)",53,0,4,1,3,7,6,13,19
"(q,n)",127,0,2,4,2,19,21,17,62
"(q,o)",32,2,0,2,5,6,6,7,4
"(q,p)",12,0,2,0,0,0,2,2,6
"(q,q)",0,0,0,0,0,0,0,0,0
